Qatar,2019,Land area (thousand hectares),1149
Romania,2019,Land area (thousand hectares),23008
Russian Federation,2019,Land area (thousand hectares),1637687
Rwanda,2019,Land area (thousand hectares),2467
Saudi Arabia,2019,Land area (thousand hectares),214969
Senegal,2019,Land area (thousand hectares),19253
Serbia,2019,Land area (thousand hectares),8746
Sierra Leone,2019,Land area (thousand hectares),7218
Slovakia,2019,Land area (thousand hectares),4808
Slovenia,2019,Land area (thousand hectares),2014
Solomon Islands,2019,Land area (thousand hectares),2799
Somalia,2019,Land area (thousand hectares),62734
South Africa,2019,Land area (thousand hectares),121309
South Sudan,2019,Land area (thousand hectares),63193
Spain,2019,Land area (thousand hectares),49957
Sri Lanka,2019,Land area (thousand hectares),6186
Sudan,2019,Land area (thousand hectares),184923
Suriname,2019,Land area (thousand hectares),15600
Sweden,2019,Land area (thousand hectares),40728
Switzerland,2019,Land area (thousand hectares),3952
Syrian Arab Republic,2019,Land area (thousand hectares),18363
Tajikistan,2019,Land area (thousand hectares),13879
United Rep. of Tanzania,2019,Land area (thousand hectares),88580
Thailand,2019,Land area (thousand hectares),51089
Togo,2019,Land area (thousand hectares),5439
Tunisia,2019,Land area (thousand hectares),15536
Turkey,2019,Land area (thousand hectares),76963
Turkmenistan,2019,Land area (thousand hectares),46993
Uganda,2019,Land area (thousand hectares),20052
Ukraine,2019,Land area (thousand hectares),57940
United Arab Emirates,2019,Land area (thousand hectares),7102
United Kingdom,2019,Land area (thousand hectares),24193
United States of America,2019,Land area (thousand hectares),914742
Uruguay,2019,Land area (thousand hectares),17502
Uzbekistan,2019,Land area (thousand hectares),44056
Venezuela (Boliv. Rep. of),2019,Land area (thousand hectares),88205
Viet Nam,2019,Land area (thousand hectares),31343
Western Sahara,2019,Land area (thousand hectares),26600
Yemen,2019,Land area (thousand hectares),52797
Zambia,2019,Land area (thousand hectares),74339
Zimbabwe,2019,Land area (thousand hectares),38685
North Macedonia,2019,Land area (thousand hectares),2522
New Caledonia,2019,Land area (thousand hectares),1828
Eswatini,2019,Land area (thousand hectares),1720
